Empresa,Safra,Cultura,Fazenda,Valor,Grupo1,Grupo2,Grupo3,Grupo4,id
2, 2024/2025,SOJA,NOSSA SENHORA DO ROSARIO DE FATIMA,"93,4652780629324",1 CUSTO DE PRODUCAO,4 CUSTO ADMINISTRACAO,CUSTOS ADMINSTRATIVOS,ADM GERAL,109047
2, 2024/2025,SOJA,SANTA CARMEM,"93,4652788678796",1 CUSTO DE PRODUCAO,4 CUSTO ADMINISTRACAO,CUSTOS ADMINSTRATIVOS,ADM GERAL,109048
2, 2024/2025,SOJA,VENTURINI,"93,4652764306499",1 CUSTO DE PRODUCAO,4 CUSTO ADMINISTRACAO,CUSTOS ADMINSTRATIVOS,ADM GERAL,109049
2, 2023/2024,SOJA,DONA IRILDE I,"64,6998885847075",2 PRODUTIVIDADE,PRODUTIVIDADE,PRODUTIVIDADE,MEDIA,109058
2, 2023/2024,SOJA,DONA IRILDE II,"66,5686749397296",2 PRODUTIVIDADE,PRODUTIVIDADE,PRODUTIVIDADE,MEDIA,109059
2, 2023/2024,SOJA,DONA IRILDE III,"75,1985915492958",2 PRODUTIVIDADE,PRODUTIVIDADE,PRODUTIVIDADE,MEDIA,109060
2, 2023/2024,SOJA,JULIANDRE/SAO LUCAS,"49,9291090155988",2 PRODUTIVIDADE,PRODUTIVIDADE,PRODUTIVIDADE,MEDIA,109061
2, 2023/2024,SOJA,NOSSA SENHORA DO ROSARIO DE FATIMA,"57,4849748053138",2 PRODUTIVIDADE,PRODUTIVIDADE,PRODUTIVIDADE,MEDIA,109062
2, 2023/2024,SOJA,SANTA CARMEM,"66,8702699488643",2 PRODUTIVIDADE,PRODUTIVIDADE,PRODUTIVIDADE,MEDIA,109063
2, 2023/2024,SOJA,VENTURINI,"56,703472356935",2 PRODUTIVIDADE,PRODUTIVIDADE,PRODUTIVIDADE,MEDIA,109064
2, 2024/2025,SOJA,DONA IRILDE I,"63,0381362120972",2 PRODUTIVIDADE,PRODUTIVIDADE,PRODUTIVIDADE,MEDIA,109065
2, 2024/2025,SOJA,DONA IRILDE II,"55,5713191037065",2 PRODUTIVIDADE,PRODUTIVIDADE,PRODUTIVIDADE,MEDIA,109066
2, 2024/2025,SOJA,DONA IRILDE III,"62,6006367713005",2 PRODUTIVIDADE,PRODUTIVIDADE,PRODUTIVIDADE,MEDIA,109067
2, 2024/2025,SOJA,JEQUITIBA,"47,2375129533679",2 PRODUTIVIDADE,PRODUTIVIDADE,PRODUTIVIDADE,MEDIA,109068
2, 2024/2025,SOJA,JULIANDRE/SAO LUCAS,"65,1040776699029",2 PRODUTIVIDADE,PRODUTIVIDADE,PRODUTIVIDADE,MEDIA,109069
2, 2024/2025,SOJA,NOSSA SENHORA DO ROSARIO DE FATIMA,"64,0027761660344",2 PRODUTIVIDADE,PRODUTIVIDADE,PRODUTIVIDADE,MEDIA,109070
2, 2024/2025,SOJA,SANTA CARMEM,"61,9799500535141",2 PRODUTIVIDADE,PRODUTIVIDADE,PRODUTIVIDADE,MEDIA,109071
2, 2022/2023,SOJA,DONA IRILDE I,"40,876416383337",1 CUSTO DE PRODUCAO,3 CUSTO C/COMERCIALIZACAO,IMPOSTOS,IMPOSTOS SOB VENDA,53987
2, 2022/2023,SOJA,DONA IRILDE II,"50,6359342527867",1 CUSTO DE PRODUCAO,3 CUSTO C/COMERCIALIZACAO,IMPOSTOS,IMPOSTOS SOB VENDA,53988
2, 2022/2023,SOJA,DONA IRILDE III,"45,2805545774648",1 CUSTO DE PRODUCAO,3 CUSTO C/COMERCIALIZACAO,IMPOSTOS,IMPOSTOS SOB VENDA,53989
2, 2022/2023,SOJA,NOSSA SENHORA DO ROSARIO DE FATIMA,"41,757265231333",1 CUSTO DE PRODUCAO,3 CUSTO C/COMERCIALIZACAO,IMPOSTOS,IMPOSTOS SOB VENDA,53990
2, 2022/2023,SOJA,SANTA CARMEM,"40,6358663336901",1 CUSTO DE PRODUCAO,3 CUSTO C/COMERCIALIZACAO,IMPOSTOS,IMPOSTOS SOB VENDA,53991
2, 2022/2023,SOJA,VENTURINI,"38,0761396702231",1 CUSTO DE PRODUCAO,3 CUSTO C/COMERCIALIZACAO,IMPOSTOS,IMPOSTOS SOB VENDA,53992
2, 2024/2025,SOJA,VENTURINI,"73,0929776915616",2 PRODUTIVIDADE,PRODUTIVIDADE,PRODUTIVIDADE,MEDIA,109072
2, 2024/2025,SOJA,VENTURINI,"888,209894762367",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,FERTILIZANTES,FERTILIZANTES GRANULADOS,109073
2, 2024/2025,SOJA,VENTURINI,"739,08824442289",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,SEMENTES E MUDAS,SEMENTES DE SOJA,109074
2, 2023/2024,SOJA,DONA IRILDE I,"57,8444797710834",1 CUSTO DE PRODUCAO,2 CUSTO OPERACIONAL,CUSTO DE MANUTENCAO,PIVO DE IRRIGACAO,109079
2, 2023/2024,SOJA,DONA IRILDE II,"462,538564436517",1 CUSTO DE PRODUCAO,2 CUSTO OPERACIONAL,CUSTO DE MANUTENCAO,PIVO DE IRRIGACAO,109080
2, 2023/2024,SOJA,JULIANDRE/SAO LUCAS,"431,275931964396",1 CUSTO DE PRODUCAO,2 CUSTO OPERACIONAL,CUSTO DE MANUTENCAO,PIVO DE IRRIGACAO,109081
2, 2020/2021,SOJA,DONA IRILDE I,"19,5510063072486",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,CONTROLE BIOLOGICO,53413
2, 2020/2021,SOJA,DONA IRILDE I,"269,240039935343",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,INSETICIDAS / ACARICIDAS,53414
2, 2020/2021,SOJA,DONA IRILDE I,"94,8970999334411",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,FERTILIZANTES,FERTILIZANTES FOLIARES,53415
2, 2020/2021,SOJA,DONA IRILDE I,"1206,02259833286",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,FERTILIZANTES,FERTILIZANTES GRANULADOS,53416
2, 2020/2021,SOJA,DONA IRILDE II,"6,0854069192385",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,ADJUVANTES,53417
2, 2020/2021,SOJA,DONA IRILDE II,"10,2142230026339",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,INOCULANTES,53418
2, 2020/2021,SOJA,DONA IRILDE II,"348,08003911937",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,SEMENTES E MUDAS,SEMENTES DE SOJA,53419
2, 2020/2021,SOJA,DONA IRILDE III,"6,76135563380282",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,ADJUVANTES,53420
2, 2020/2021,SOJA,DONA IRILDE III,"10,0608274647887",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,INOCULANTES,53421
2, 2020/2021,SOJA,DONA IRILDE III,"305,958978873239",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,SEMENTES E MUDAS,SEMENTES DE SOJA,53422
2, 2020/2021,SOJA,NOSSA SENHORA DO ROSARIO DE FATIMA,"165,203587690196",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,HERBICIDAS,53423
2, 2020/2021,SOJA,NOSSA SENHORA DO ROSARIO DE FATIMA,"10,4898753003089",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,INOCULANTES,53424
2, 2020/2021,SOJA,SANTA CARMEM,"18,5515400166488",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,CONTROLE BIOLOGICO,53425
2, 2020/2021,SOJA,SANTA CARMEM,"368,510940658818",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,FUNGICIDAS,53426
2, 2020/2021,SOJA,SANTA CARMEM,"219,706469259127",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,INSETICIDAS / ACARICIDAS,53427
2, 2020/2021,SOJA,SANTA CARMEM,"1324,50512546082",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,FERTILIZANTES,FERTILIZANTES GRANULADOS,53428
2, 2020/2021,SOJA,VENTURINI,"336,501960784314",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,FUNGICIDAS,53429
2, 2020/2021,SOJA,VENTURINI,"188,427058823529",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,HERBICIDAS,53430
2, 2020/2021,SOJA,VENTURINI,"84,9497254901961",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,FERTILIZANTES,FERTILIZANTES FOLIARES,53431
2, 2024/2025,SOJA,DONA IRILDE I,"27,6887664708684",1 CUSTO DE PRODUCAO,2 CUSTO OPERACIONAL,CUSTO DE MANUTENCAO,PIVO DE IRRIGACAO,109086
2, 2024/2025,SOJA,DONA IRILDE II,"206,333959182767",1 CUSTO DE PRODUCAO,2 CUSTO OPERACIONAL,CUSTO DE MANUTENCAO,PIVO DE IRRIGACAO,109087
2, 2024/2025,SOJA,JULIANDRE/SAO LUCAS,"47,6633539276258",1 CUSTO DE PRODUCAO,2 CUSTO OPERACIONAL,CUSTO DE MANUTENCAO,PIVO DE IRRIGACAO,109088
2, 2023/2024,SOJA,DONA IRILDE I,"7616,69891029159",4 RECEITA DA PRODUCAO RS/HA ,RECEITA DA PRODUCAO RS/HA ,RECEITA DA PRODUCAO RS/HA ,RECEITA DA PRODUCAO RS/HA ,109104
2, 2023/2024,SOJA,DONA IRILDE II,"7836,69902629224",4 RECEITA DA PRODUCAO RS/HA ,RECEITA DA PRODUCAO RS/HA ,RECEITA DA PRODUCAO RS/HA ,RECEITA DA PRODUCAO RS/HA ,109105
2, 2023/2024,SOJA,DONA IRILDE III,"8852,64322455669",4 RECEITA DA PRODUCAO RS/HA ,RECEITA DA PRODUCAO RS/HA ,RECEITA DA PRODUCAO RS/HA ,RECEITA DA PRODUCAO RS/HA ,109106
2, 2023/2024,SOJA,JULIANDRE/SAO LUCAS,"5877,83068178001",4 RECEITA DA PRODUCAO RS/HA ,RECEITA DA PRODUCAO RS/HA ,RECEITA DA PRODUCAO RS/HA ,RECEITA DA PRODUCAO RS/HA ,109107
2, 2023/2024,SOJA,NOSSA SENHORA DO ROSARIO DE FATIMA,"6767,33383218318",4 RECEITA DA PRODUCAO RS/HA ,RECEITA DA PRODUCAO RS/HA ,RECEITA DA PRODUCAO RS/HA ,RECEITA DA PRODUCAO RS/HA ,109108
2, 2023/2024,SOJA,SANTA CARMEM,"7872,20385369883",4 RECEITA DA PRODUCAO RS/HA ,RECEITA DA PRODUCAO RS/HA ,RECEITA DA PRODUCAO RS/HA ,RECEITA DA PRODUCAO RS/HA ,109109
2, 2023/2024,SOJA,VENTURINI,"6675,33260965922",4 RECEITA DA PRODUCAO RS/HA ,RECEITA DA PRODUCAO RS/HA ,RECEITA DA PRODUCAO RS/HA ,RECEITA DA PRODUCAO RS/HA ,109110
2, 2024/2025,SOJA,DONA IRILDE I,"6896,46196794789",4 RECEITA DA PRODUCAO RS/HA ,RECEITA DA PRODUCAO RS/HA ,RECEITA DA PRODUCAO RS/HA ,RECEITA DA PRODUCAO RS/HA ,109111
2, 2024/2025,SOJA,DONA IRILDE II,"6079,58153169291",4 RECEITA DA PRODUCAO RS/HA ,RECEITA DA PRODUCAO RS/HA ,RECEITA DA PRODUCAO RS/HA ,RECEITA DA PRODUCAO RS/HA ,109112
2, 2022/2023,SOJA,SANTA CARMEM,"43,2774931620882",1 CUSTO DE PRODUCAO,4 CUSTO ADMINISTRACAO,CUSTOS ADMINSTRATIVOS,ADM DIRETO FAZENDAS ,54032
2, 2022/2023,SOJA,VENTURINI,"43,2774917555771",1 CUSTO DE PRODUCAO,4 CUSTO ADMINISTRACAO,CUSTOS ADMINSTRATIVOS,ADM DIRETO FAZENDAS ,54033
2, 2024/2025,SOJA,DONA IRILDE III,"6848,59890543123",4 RECEITA DA PRODUCAO RS/HA ,RECEITA DA PRODUCAO RS/HA ,RECEITA DA PRODUCAO RS/HA ,RECEITA DA PRODUCAO RS/HA ,109113
2, 2020/2021,SOJA,NOSSA SENHORA DO ROSARIO DE FATIMA,"318,735705296877",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,SEMENTES E MUDAS,SEMENTES DE SOJA,53442
2, 2020/2021,SOJA,SANTA CARMEM,"91,9015340706386",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,CORRETIVOS,CORRETIVOS,53443
2, 2020/2021,SOJA,SANTA CARMEM,"200,202509216316",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,HERBICIDAS,53444
2, 2020/2021,SOJA,SANTA CARMEM,"89,3344868593174",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,FERTILIZANTES,FERTILIZANTES FOLIARES,53445
2, 2020/2021,SOJA,VENTURINI,"14,1176470588235",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,CONTROLE BIOLOGICO,53446
2, 2020/2021,SOJA,VENTURINI,"10,2273921568627",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,INOCULANTES,53447
2, 2024/2025,SOJA,JEQUITIBA,"5167,85125828055",4 RECEITA DA PRODUCAO RS/HA ,RECEITA DA PRODUCAO RS/HA ,RECEITA DA PRODUCAO RS/HA ,RECEITA DA PRODUCAO RS/HA ,109114
2, 2024/2025,SOJA,JULIANDRE/SAO LUCAS,"7122,47890861102",4 RECEITA DA PRODUCAO RS/HA ,RECEITA DA PRODUCAO RS/HA ,RECEITA DA PRODUCAO RS/HA ,RECEITA DA PRODUCAO RS/HA ,109115
2, 2024/2025,SOJA,NOSSA SENHORA DO ROSARIO DE FATIMA,"7001,99495408675",4 RECEITA DA PRODUCAO RS/HA ,RECEITA DA PRODUCAO RS/HA ,RECEITA DA PRODUCAO RS/HA ,RECEITA DA PRODUCAO RS/HA ,109116
2, 2024/2025,SOJA,SANTA CARMEM,"6780,69489366252",4 RECEITA DA PRODUCAO RS/HA ,RECEITA DA PRODUCAO RS/HA ,RECEITA DA PRODUCAO RS/HA ,RECEITA DA PRODUCAO RS/HA ,109117
2, 2024/2025,SOJA,VENTURINI,"7996,47595985211",4 RECEITA DA PRODUCAO RS/HA ,RECEITA DA PRODUCAO RS/HA ,RECEITA DA PRODUCAO RS/HA ,RECEITA DA PRODUCAO RS/HA ,109118
2, 2021/2022,SOJA,DONA IRILDE I,"18,5448890159093",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,INOCULANTES,53466
2, 2021/2022,SOJA,DONA IRILDE II,"9,01989308854091",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,ADJUVANTES,53467
2, 2021/2022,SOJA,DONA IRILDE II,"24,4951823162668",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,CONTROLE BIOLOGICO,53468
2, 2021/2022,SOJA,DONA IRILDE II,"16,2419844189329",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,INOCULANTES,53469
2, 2021/2022,SOJA,DONA IRILDE III,"16,1432746478873",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,INOCULANTES,53470
2, 2021/2022,SOJA,NOSSA SENHORA DO ROSARIO DE FATIMA,"72,0635612991766",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,CORRETIVOS,CORRETIVOS,53471
2, 2021/2022,SOJA,NOSSA SENHORA DO ROSARIO DE FATIMA,"239,549160567246",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,HERBICIDAS,53472
2, 2021/2022,SOJA,SANTA CARMEM,"7,87491972886193",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,ADJUVANTES,53473
2, 2021/2022,SOJA,SANTA CARMEM,"21,9835771197526",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,CONTROLE BIOLOGICO,53474
2, 2021/2022,SOJA,SANTA CARMEM,"15,0534427399215",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,INOCULANTES,53475
2, 2021/2022,SOJA,VENTURINI,"402,917078431373",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,FUNGICIDAS,53476
2, 2021/2022,SOJA,VENTURINI,"306,10068627451",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,INSETICIDAS / ACARICIDAS,53477
2, 2021/2022,SOJA,VENTURINI,"136,599",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,FERTILIZANTES,FERTILIZANTES FOLIARES,53478
2, 2021/2022,SOJA,VENTURINI,"1025,03721568627",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,FERTILIZANTES,FERTILIZANTES GRANULADOS,53479
2, 2021/2022,SOJA,VENTURINI,"383,021137254902",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,SEMENTES E MUDAS,SEMENTES DE SOJA,53480
2, 2022/2023,SOJA,DONA IRILDE I,"0,0408916145022402",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,CORRETIVOS,CORRETIVOS,53499
2, 2022/2023,SOJA,DONA IRILDE I,"3,17388071557942",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,CONTROLE BIOLOGICO,53500
2, 2022/2023,SOJA,DONA IRILDE I,"322,642617012488",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,FUNGICIDAS,53501
2, 2022/2023,SOJA,DONA IRILDE I,"273,966890152839",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,INSETICIDAS / ACARICIDAS,53502
2, 2020/2021,SOJA,DONA IRILDE I,"377,315869544547",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,FUNGICIDAS,53511
2, 2020/2021,SOJA,DONA IRILDE III,"359,457544014085",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,FUNGICIDAS,53512
2, 2020/2021,SOJA,NOSSA SENHORA DO ROSARIO DE FATIMA,"9,23598901727491",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,ADJUVANTES,53513
2, 2020/2021,SOJA,NOSSA SENHORA DO ROSARIO DE FATIMA,"18,17092094726",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,CONTROLE BIOLOGICO,53514
2, 2020/2021,SOJA,SANTA CARMEM,"10,078035438221",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,INOCULANTES,53515
2, 2020/2021,SOJA,VENTURINI,"109,048156862745",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,INSETICIDAS / ACARICIDAS,53516
2, 2020/2021,SOJA,VENTURINI,"1207,7881372549",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,FERTILIZANTES,FERTILIZANTES GRANULADOS,53517
2, 2021/2022,SOJA,DONA IRILDE I,"147,862933536566",1 CUSTO DE PRODUCAO,4 CUSTO ADMINISTRACAO,CUSTOS ADMINSTRATIVOS,ADM GERAL,54049
2, 2021/2022,SOJA,DONA IRILDE II,"147,862933285916",1 CUSTO DE PRODUCAO,4 CUSTO ADMINISTRACAO,CUSTOS ADMINSTRATIVOS,ADM GERAL,54050
2, 2021/2022,SOJA,DONA IRILDE III,"147,862934859155",1 CUSTO DE PRODUCAO,4 CUSTO ADMINISTRACAO,CUSTOS ADMINSTRATIVOS,ADM GERAL,54051
2, 2021/2022,SOJA,NOSSA SENHORA DO ROSARIO DE FATIMA,"147,862934354986",1 CUSTO DE PRODUCAO,4 CUSTO ADMINISTRACAO,CUSTOS ADMINSTRATIVOS,ADM GERAL,54052
2, 2021/2022,SOJA,SANTA CARMEM,"147,862933761446",1 CUSTO DE PRODUCAO,4 CUSTO ADMINISTRACAO,CUSTOS ADMINSTRATIVOS,ADM GERAL,54053
2, 2021/2022,SOJA,VENTURINI,"147,862933333333",1 CUSTO DE PRODUCAO,4 CUSTO ADMINISTRACAO,CUSTOS ADMINSTRATIVOS,ADM GERAL,54054
2, 2021/2022,SOJA,DONA IRILDE II,"188,577488580923",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,INSETICIDAS / ACARICIDAS,53541
2, 2021/2022,SOJA,DONA IRILDE II,"89,4942932396839",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,FERTILIZANTES,FERTILIZANTES FOLIARES,53542
2, 2021/2022,SOJA,DONA IRILDE II,"1095,09652037652",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,FERTILIZANTES,FERTILIZANTES GRANULADOS,53543
2, 2021/2022,SOJA,DONA IRILDE III,"156,804392605634",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,HERBICIDAS,53544
2, 2021/2022,SOJA,NOSSA SENHORA DO ROSARIO DE FATIMA,"373,432275846295",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,FUNGICIDAS,53545
2, 2021/2022,SOJA,SANTA CARMEM,"250,214888809609",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,DEFENSIVOS,INSETICIDAS / ACARICIDAS,53546
2, 2021/2022,SOJA,SANTA CARMEM,"85,8675823522416",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,FERTILIZANTES,FERTILIZANTES FOLIARES,53547
2, 2021/2022,SOJA,SANTA CARMEM,"997,572719705078",1 CUSTO DE PRODUCAO,1 CUSTO AGRONOMICO,FERTILIZANTES,FERTILIZANTES GRANULADOS,53548
